UniqueID,components,Notes,question,answer_type,choice_0,choice_1,choice_2,choice_3,answer,qID,explanation,in_lesson
97,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{2x^2 - 5}{x^4} \),multi,\(\displaystyle \frac{20}{x^3} - \frac{4}{x^5} \),\(\displaystyle \frac{1}{x^2} \),\(\displaystyle \frac{-4}{x^3} + \frac{20}{x^5} \),\(\displaystyle \frac{4x-1}{x^8} \),2,q4697
98,"108,32,33",,\(\displaystyle \text{Differentiate } f(x) = \frac{1-\sec x}{\tan x} \),multi,\(\displaystyle \frac{1}{\tan^2 x} \),\(\displaystyle \frac{-\sec x}{\tan x} \),\(\displaystyle \frac{\sec x (1- \sec x)}{\tan^2 x} \),\(\displaystyle \frac{\sec x (\sec x - 1)}{\tan^2 x} \),2,q4698
99,"108,142",,"\(\displaystyle \text{If } f(x) = \frac{1-x^2}{1+x^2}, \text{ what is } f'(1)? \)",multi,\(\displaystyle 1 \),\(\displaystyle 0 \),\(\displaystyle 1/2 \),\(\displaystyle -1 \),3,q4699
100,"108,142",,"\(\displaystyle \text{If } h(0) = 3 \text{ and } h'(0) = 2, \text{ find } f'(0) \text{ if } f(x) = h(x) - \frac{1}{h(x)}. \)",multi,\(\displaystyle 10/3 \),\(\displaystyle 8/3 \),\(\displaystyle 7/2 \),\(\displaystyle 20/9 \),3,q4700
101,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{3x^4 + 5}{x-1}. \),multi,\(\displaystyle \frac{3x^4 + 5}{(x-1)^3} \),\(\displaystyle \frac{9x^4 - 12x^3 - 5}{(x-1)^2} \),\(\displaystyle \frac{3x^4 + 5}{(x-1)^2} \),\(\displaystyle \frac{12x^3}{(x-1)^2} \),1,q4701
102,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{x^3}{1-x} \),multi,\(\displaystyle \frac{3x^2 - 2x^3}{(1-x)^2} \),\(\displaystyle \frac{2x^3 - 3x^2}{(1-x)^4} \),\(\displaystyle \frac{2x^3 - 3x^2}{(1-x)^2} \),\(\displaystyle \frac{3x^2}{(1-x)^2} \),0,q4702
103,"108,142",,\(\displaystyle \text{Find } f'(1) \text{ if } f(x) = \frac{ax+b}{cx+d}. \),multi,\(\displaystyle \frac{a}{c} \),\(\displaystyle \frac{ad + bc}{(c+d)^2} \),\(\displaystyle \frac{ad - bc}{(c+d)^2} \),\(\displaystyle \frac{a}{(c+d)^2} \),2,q4703
104,"108,142",,\(\displaystyle \text{What is the second derivative of } f(x) = \frac{x^2 - 3}{x}? \),multi,\(\displaystyle \frac{-6}{x^3} \),\(\displaystyle \frac{x^2 + 3}{x^2} \),\(\displaystyle \frac{-6}{x^2} \),\(\displaystyle 0 \),0,q4704
105,"108,142,38",,\(\displaystyle \text{Differentiate } f(x) = \frac{e^x - 1}{e^x + 1}. \),multi,\(\displaystyle \frac{e^x}{(e^x + 1)^4} \),\(\displaystyle \frac{2e^x}{(e^x - 1)^2} \),\(\displaystyle \frac{2e^x}{(e^x + 1)^2} \),\(\displaystyle \frac{e^x}{(e^x + 1)^2} \),2,q4705
106,"107,142",,\(\displaystyle \text{Differentiate } f(x) = (2x^2-1)(3x+1) \),multi,\(\displaystyle 9x^2 + 6x - 2 \),\(\displaystyle 6x^3 + 2x^2 - 3x \),\(\displaystyle 18x^2 - 3x + 4 \),\(\displaystyle 18x^2 + 4x - 3 \),3,q4706
107,"107,142",,\(\displaystyle \text{Differentiate } f(x) = \left ( 1 + \frac{2}{x} \right ) \left ( 1 + \frac{2}{x^2} \right ). \),multi,\(\displaystyle 1 + \frac{4}{x^2} \),\(\displaystyle \frac{-2}{x^2} - \frac{4}{x^3} - \frac{12}{x^4} \),\(\displaystyle -2x^2 - 4x^3 - 12x^4 \),\(\displaystyle \frac{-x^2}{2} - \frac{x^3}{4} - \frac{x^4}{12} \),1,q4707
108,"107,142,10,32",,\(\displaystyle \text{Differentiate } f(x) = x^2 \cos \left ( \frac{1}{x} \right ). \),multi,\(\displaystyle 2x \sin \frac{1}{x} + \cos \frac{1}{x} \),\(\displaystyle 2x\sin \frac{1}{x} \),\(\displaystyle 2x \sin \frac{1}{x} - \cos \frac{1}{x} \),\(\displaystyle 2x \cos \frac{1}{x} + \sin \frac{1}{x} \),3,q4708
109,"107,142",,"\(\displaystyle \text{If } f(x) = x^2(x+1), \text{ what is } f'(0)? \)",multi,\(\displaystyle 2 \),\(\displaystyle -1 \),\(\displaystyle 1 \),\(\displaystyle 0 \),3,q4710
110,"107,142",,"\(\displaystyle \text{If } h(0) = 3 \text{ and } h'(0) = 2, \text{ find } f'(0) \text{ for } f(x) = xh(x). \)",multi,\(\displaystyle 2 \),\(\displaystyle 3 \),\(\displaystyle -2 \),\(\displaystyle 0 \),1,q4711
111,"107,142",,\(\displaystyle \text{Differentiate } f(x) = (x^2-1)(x-3). \),multi,\(\displaystyle x^3 - 3x^2 - x \),\(\displaystyle 2x \),\(\displaystyle 3x^2 - 6x - 1 \),\(\displaystyle 6x - 6 \),2,q4712
112,"107,142",,\(\displaystyle \text{Differentiate } f(x) = (9x^8 - 8x^9) \left ( x + \frac{1}{x} \right ). \),multi,\(\displaystyle -40x^9 + \frac{81}{2} x^8 - 32x^7 + \frac{63}{2} x^6 \),\(\displaystyle -80x^9 + 81x^8 - \ln (17x^2) \),\(\displaystyle -80x^9 + 81x^8 - 64x^7 + 63x^6 \),\(\displaystyle 72x^7 - 72x^8 + \ln(17x^2) \),2,q4713
113,"107,142",,"\(\displaystyle \text{If } f(x) = 10x^4(3x^2 - 1), \text{ what is } f'(1)? \)",multi,\(\displaystyle 140 \),\(\displaystyle 35 \),\(\displaystyle 70 \),\(\displaystyle 20 \),0,q4714
114,"107,142",,"\(\displaystyle \text{If } h(0) = 4 \text{ and } h'(0) = 3, \text{ find } f'(0) \text{ for } f(x) = 2x^2 h(x) - 3x \)",multi,\(\displaystyle 37 \),\(\displaystyle -4 \),\(\displaystyle 4 \),\(\displaystyle -3 \),3,q4715
115,"107,38",,\(\displaystyle \text{Differentiate } f(x) = \tan(e^{3x}) \),multi,\(\displaystyle 3\sec^2(e^{3x}) \),\(\displaystyle 3e^{3x} \sec^2 (e^{3x}) \),\(\displaystyle \sec^2 (e^{3x}) \),\(\displaystyle 9e^{3x} \sec^2(e^{3x}) \),1,q4716
116,31,,\(\displaystyle \frac{d}{dx} \cos x = -\sin x \),multi,True,False in general,,,0,q4734
117,144,,\(\displaystyle \frac{d}{dx} \ln 2 = 0 \),multi,True,False in general,,,0,q4736
118,143,,"\(\displaystyle \int \frac{1}{x}\,dx = \ln |x| + C \)",multi,True,False in general,,,0,q4741
119,143,,"\(\displaystyle \int \frac{1}{x^2}\,dx = \frac{-3}{x^3} + C \)",multi,True,False in general,,,1,q4742
120,"10,142,30",,\(\displaystyle \frac{d}{dx} \sin(x^3) = 3x^2 \cos(x^3) \),multi,True,False in general,,,0,q4743
121,144,,\(\displaystyle \frac{d}{dx} \sin(3\pi) = 3\cos(3 \pi) \),multi,True,False in general,,,1,q4744
122,143,simplifying first,"\(\displaystyle \int \frac{(x-2)^6}{(-2+x)^2}\,dx = \frac{(x-2)^5}{5} + C \)",multi,True,False in general,,,0,q4749
123,142,kinda (see above),\(\displaystyle \frac{d}{dx} 5^x = x5^{x-1} \),multi,True,False in general,,,1,q4752
124,113,,Let \(f(x)=x^4-24x^2\). \(\displaystyle \text{Where is } f(x) \text{ concave up?} \),check,\(\displaystyle x < -2 \),\(\displaystyle x > -2 \),\(\displaystyle x > 2 \),\(\displaystyle x < 2 \),2,q4765
125,120,,Let \(f(x)=x^4-24x^2\). \(\displaystyle \text{Find all inflection points of } f(x). \),check,"\(\displaystyle (-2, -80) \)","\(\displaystyle (1, -23) \)","\(\displaystyle (2, -80) \)","\(\displaystyle (0,0) \)",2,q4766
126,"43,121",,Let \(f(x)=x^4-24x^2\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have a relative maximum?} \),check,\(\displaystyle x = 12^{1/2} \),\(\displaystyle x = 0 \),\(\displaystyle x = 12^{1/2} \),\(\displaystyle x = -2 \),1,q4768
127,"43,121",,Let \(f(x)=x^4-24x^2\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have a relative minimum?} \),check,\(\displaystyle x = -12^{1/2} \),\(\displaystyle x = 0 \),\(\displaystyle x = 12^{1/2} \),\(\displaystyle x = -2 \),0,q4769
128,114,,Let \(f(x)=4x^3-15x^2-18x+10\). \(\displaystyle \text{Where is } f(x) \text{ concave down}? \),check,\(\displaystyle x < 5/4 \),\(\displaystyle x > 5/4 \),\(\displaystyle x < 4 \),\(\displaystyle x > 4 \),0,q4771
129,120,,Let \(f(x)=4x^3-15x^2-18x+10\). \(\displaystyle \text{Find all inflection points of } f(x). \),check,"\(\displaystyle (0, 10) \)","\(\displaystyle (4, -46) \)","\(\displaystyle (5/4, -225/8) \)","\(\displaystyle (-5/4, -225/8) \)",2,q4772
130,"43,121",,Let \(f(x)=4x^3-15x^2-18x+10\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have a relative maximum?} \),check,\(\displaystyle x = -1/2 \),\(\displaystyle x = -3 \),\(\displaystyle x = 1/2 \),\(\displaystyle x = 3 \),0,q4773
131,"43,121",,Let \(f(x)=4x^3-15x^2-18x+10\). \(\displaystyle \text{At what values of } x \text{ does } f(x) \text{ have a relative minimum?} \),check,\(\displaystyle x = -1/2 \),\(\displaystyle x = -3 \),\(\displaystyle x = 1/2 \),\(\displaystyle x = 3 \),3,q4774
132,142,kinda (see above),\(\displaystyle \frac{d}{dx} 4^x = 4^x \ln 4 \),multi,True,False in general,,,0,q4784
133,108,,\(\displaystyle \frac{d}{dx} \left [ \frac{g(x)}{h(x)} \right ] = \frac{h(x)g'(x) - g(x)h'(x)}{h^2(x)} \),multi,True,False in general,,,0,q4787
134,143,,"\(\displaystyle \int \frac{3}{x}\,dx = \ln |3x| + C \)",multi,True,False in general,,,1,q4789
135,"10,32",,\(\displaystyle \frac{d}{dx} \tan(x^3 - 2x) = \sec^2(3x^2-2) \),multi,True,False in general,,,1,q4791
136,30,,\(\displaystyle \frac{d}{dx} \sin x = -\cos x \),multi,True,False in general,,,1,q4793
137,144,,\(\displaystyle \frac{d}{dx} \ln 5 = 0 \),multi,True,False in general,,,0,q4795
138,"10,38,6",(6 is for integrating both sides),"\(\displaystyle \int e^{2x}\,dx = 2e^{2x} + C \)",multi,True,False in general,,,1,q4796
139,"10,31,142",,\(\displaystyle \frac{d}{dx} [ \cos(5x - 6) ] = \sin(5x - 6) + \cos 5 \),multi,True,False in general,,,1,q4801
140,"6,33","many ways to go about this, but pretty simple","\(\displaystyle \int \tan x\,dx = \sec^2 x + C \)",multi,True,False in general,,,1,q4802
141,41,,Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{On which intervals is } f(x) \text{ increasing?} \),check,"\(\displaystyle (-\infty, -1/2) \)","\(\displaystyle (-1/2, 3/2) \)","\(\displaystyle (3/2, \infty) \)","\(\displaystyle (-1/2, \infty) \)",2,q4805
142,43,,Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{Find the critical points of } f(x). \),check,\(\displaystyle -1/2 \),\(\displaystyle 2 \),\(\displaystyle -3/2 \),\(\displaystyle 3/2 \),3,q4806
143,48,,Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{Find the location of relative maxima of } f(x). \),check,"\(\displaystyle (-1/2, 5/2) \)","\(\displaystyle (3/2, -27/2) \)","\(\displaystyle (2, -10) \)",\(\displaystyle \text{There are none.} \),1,q4807
144,49,,Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{Find the location of relative minima of } f(x). \),check,"\(\displaystyle (-1/2, 5/2) \)","\(\displaystyle (3/2, -27/2) \)","\(\displaystyle (2, -10) \)",\(\displaystyle \text{There are none.} \),2,q4808
145,"48,52",,"Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{What is the maximum value of } f(x) \text{ on the interval } [-1, 2]? \)",multi,\(\displaystyle 5/2 \),\(\displaystyle -10 \),\(\displaystyle -27/2 \),\(\displaystyle 10 \),0,q4809
146,"49,52",,"Let \(f(x)=4x^3-6x^2-9x\). \(\displaystyle \text{What is the minimum value of } f(x) \text{ on the interval } [-1, 2]? \)",multi,\(\displaystyle 5/2 \),\(\displaystyle -10 \),\(\displaystyle -27/2 \),\(\displaystyle -15 \),2,q4810
147,151,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow -3} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow -3} f(x) \text{ is undefined.} \],,,TRUE
148,153,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow 2^+} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow 2^+} f(x) = -1 \],,,TRUE
149,156,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow -5^+} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow -5^+} f(x) = 2 \],,,TRUE
150,158,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow -\infty} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow -\infty} f(x)  = 0 \],,,TRUE
151,152,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow 2^-} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow 2^-} f(x) = 1\],,,TRUE
152,155,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow -5^-} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow -5^-} f(x) =2 \],,,TRUE
153,159,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow \infty} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow \infty} f(x) \text{ is undefined.} \],,,TRUE
154,154,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow 2} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow 2} f(x) \text{ is undefined.} \],,,TRUE
155,157,"""ComputingLimits"" quizzes",Evaluate \[ \lim_{x\rightarrow -5} f(x) \] on the graph above.,self-rate,,,,,\[ \lim_{x\rightarrow -5} f(x) = 2 \],,,TRUE
156,150,"""ComputingLimits"" quizzes","Evaluate \[ \lim_{x\rightarrow c} f(x) \text{ for } c\ne -5, -3, 2 \] on the graph above.",self-rate,,,,,\[ \lim_{x\rightarrow c} f(x) = f(c) \],,"The function \( f(x) \) is continuous at all of these points, and so the limit is just the value of the function evaluated at that point.",TRUE
157,"137,78,79,38,10,142",,"\(\displaystyle \text{Evaluate } \int x e^{3x}\,dx. \)",multi,\(\displaystyle (x/3) e^{3x} - (1/9)e^{3x} + C \),\(\displaystyle (1/3)e^{3x} - (x/9)e^{3x} + C \),\(\displaystyle (x/3)e^{3x} + (x/9)e^{3x} + C \),\(\displaystyle (1/3)e^{3x} - (1/9)e^{3x} + C \),0,q1211
158,"137,78,79,30,142",,"\(\displaystyle \text{Evaluate } \int x(1 + \cos x)\,dx \)",multi,\(\displaystyle x^2 - x\sin x + \cos x + C \),\(\displaystyle 2x^2 - x\sin x - \cos x + C \),\(\displaystyle (1/2)x^2 + x \sin x + \cos x + C \),\(\displaystyle (1/2)x^2 + \sin x - \cos x + C \),2,q1212
159,"137,78,79,30,31,142",,"\(\displaystyle \text{Evaluate } \int x^2 \cos x \, dx \)",multi,\(\displaystyle x \sin x - 2\cos x - \sin x + C \),\(\displaystyle x^2 \sin x + 2x \cos x - 2 \sin x + C \),\(\displaystyle x^2 \sin x - 2x\cos x + 2\sin x + C \),\(\displaystyle x \sin x + 2\cos x - 2\sin x + C \),1,q1213
160,"137,78,79,36,142",,"\(\displaystyle \text{Evaluate the definite integral } \int_1^e x^2 \ln x \, dx. \)",multi,\(\displaystyle (1/3)e^3 - 1/9 \),\(\displaystyle (2/9)e^3 \),\(\displaystyle (1/3)e^3 - 1/3 \),\(\displaystyle (2/9)e^3 + 1/9 \),3,q1214
161,"137,78,79,138,142",,"\(\displaystyle \text{Evaluate the definite integral } \int_0^{1/4} \sin^{-1} (2x)\,dx. \text{ Recall that the derivative of } \sin^{-1} u \text{ is } \frac{1}{(1-u^2)^{1/2}} \)",multi,\(\displaystyle -\pi/24 + (3^{1/2} + 2)/4 \),\(\displaystyle \pi/24 + (3^{1/2} - 2)/4 \),\(\displaystyle \pi/24 \),\(\displaystyle (2-3^{1/2})/2 \),1,q1215
162,"137,78,79,138,36,142",,"\(\displaystyle \text{Evaluate } \int \ln x\,dx \)",multi,\(\displaystyle x \ln x + x + C \),\(\displaystyle \ln x - x + C \),\(\displaystyle x \ln x - x + C \),\(\displaystyle 2\ln x - x + C \),2,q1221
163,"137,78,79,142,31,10",,"\(\displaystyle \text{Evaluate } \int x \sin 2x \, dx. \)",multi,\(\displaystyle (-x/2)\cos 2x + (1/4) \sin 2x + C \),\(\displaystyle (1/2) \cos 2x + (x/4)\sin 2x + C \),\(\displaystyle (x/2)\sin 2x  - (1/2)\cos 2x + C \),\(\displaystyle (x/4)\cos 2x - (3/4) \sin 2x + C \),0,q1222
164,"137,78,79,139,38,30,31",,"\(\displaystyle \text{Evaluate } \int e^x \sin x \, dx. \)",multi,\(\displaystyle \frac{ (\sin x + \cos x)e^x}{2} \),\(\displaystyle \frac{(\sin x + \cos x)e^x}{4} \),\(\displaystyle (\sin x - \cos x)e^x \),\(\displaystyle \frac{\sin x - \cos x)e^x}{2} \),3,q1223
165,"137,78,79,142,38,10",,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 xe^{-5x} \, dx. \)",multi,\(\displaystyle \frac{6}{25e^5} \),\(\displaystyle 1/25 - \frac{6}{25e^5} \),\(\displaystyle \frac{-1}{5e^5} \),\(\displaystyle \frac{1}{25e^5} - \frac{6}{25} \),1,q1224
166,"137,78,79,142,10,136,16",,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 x \tan^{-1} x^2 \, dx. \text{ Recall that the derivative of } \tan^{-1} u \text{ is } \frac{1}{1+u^2}. \)",multi,\(\displaystyle \pi/4 + \ln 2 \),\(\displaystyle (1/4) \ln 2 \),\(\displaystyle -\pi/8 \),\(\displaystyle \pi/8 - (1/4) \ln 2 \),3,q1225
167,"137,78,79,143,36",,"\(\displaystyle \text{Evaluate } \int x\ln x \, dx. \)",multi,\(\displaystyle (x^2) \ln x + x^2/2 + C \),\(\displaystyle (x^2 / 2) \ln x - x^2 /4 + C \),\(\displaystyle x \ln x - x^2/2 + C \),\(\displaystyle (2x^2) \ln x - x^2/2 + C \),1,q1231
168,"137,78,79,32,142",,"\(\displaystyle \text{Evaluate } \int x \sec^2 x \, dx. \)",multi,\(\displaystyle x \tan x - \ln |\cos x| + C \),\(\displaystyle \tan x + \ln|\sin x| + C \),\(\displaystyle x\sec x + 2\ln|\cos x| + C \),\(\displaystyle x \tan x + \ln|\cos x| + C \),3,q1232
169,"137,78,79,10,31,36,138",,"\(\displaystyle \text{Evaluate } \int \cos(\ln x)\,dx. \)",multi,\(\displaystyle (x/2)[\cos(\ln x) + \sin(\ln x)] + C \),\(\displaystyle (1/2)[\cos(\ln x) - \sin(\ln x)] + C \),\(\displaystyle x[2 \cos (\ln x) - \sin(\ln x)] + C \),\(\displaystyle (x/4)[\cos(\ln x) + 2\sin(\ln x)] + C \),0,q1233
170,"137,78,79,142,10,38",,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 x^2 e^{-x}\,dx. \)",multi,\(\displaystyle 1 - 3/e \),\(\displaystyle 2 + 5/e \),\(\displaystyle 2 - 5/e \),\(\displaystyle 4 + e \),2,q1234
171,"137,78,79,10,31,143",,"\(\displaystyle \text{Evaluate the definite integral } \int_0^1 2x \sin(\pi x)\,dx. \)",multi,\(\displaystyle 2/\pi \),\(\displaystyle 2/\pi - 4/\pi^2 \),\(\displaystyle 4/\pi \),\(\displaystyle 2/\pi^2 \),0,q1235
172,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{x^2}{1-x} \),multi,\(\displaystyle \frac{2x}{(1-x)^2} \),\(\displaystyle \frac{2x-x^2}{(1-x)^2} \),\(\displaystyle \frac{x^2}{(1-x)^2} \),\(\displaystyle \frac{x-2x^2}{(1-x)^2} \),1,q1511
173,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{2x-3}{3x-2}. \),multi,\(\displaystyle \frac{-5}{3x-2} \),\(\displaystyle \frac{3-2x}{(3x-2)^2} \),\(\displaystyle \frac{2}{(3x-2)^2} \),\(\displaystyle \frac{5}{(3x-2)^2} \),3,q1512
174,"108,142,37",,\(\displaystyle \text{Differentiate } f(x) = \frac{\ln|x+1|}{x+1}. \),multi,\(\displaystyle \frac{1}{x(x+1)^2} \),\(\displaystyle \frac{-\ln|x+1|}{x+1} \),\(\displaystyle \frac{1-\ln|x+1|}{(x+1)^2} \),\(\displaystyle \frac{\ln|x+1|}{(x+1)^2} \),3,q1513
175,"108,142",,\(\displaystyle \text{Find the derivative of } \frac{f(x)}{x} \text{ at } x =1. \),multi,\(\displaystyle 0 \),\(\displaystyle f'(1) - f(1) \),\(\displaystyle f'(1) \),\(\displaystyle f'(1) + 2f(1) \),1,q1514
176,"108,142",,\(\displaystyle \text{Find the second derivative of } \frac{1}{x^2+1}. \),multi,\(\displaystyle \frac{6x^2 - 2}{(x^2+1)^3} \),\(\displaystyle \frac{-2x}{(x^2+1)^3} \),\(\displaystyle \frac{2x-1}{(x^2+1)^3} \),\(\displaystyle \frac{4x^2 - 3}{(x^2+1)^4} \),0,q1515
177,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{3x}{2x+1} \),multi,\(\displaystyle \frac{2x-1}{(2x+1)^2} \),\(\displaystyle \frac{3}{2x+1} \),\(\displaystyle \frac{x}{(2x+1)^2} \),\(\displaystyle \frac{3}{(2x+1)^2} \),3,q1521
178,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{x^3 + 3x + 2}{x^2-1}. \),multi,\(\displaystyle \frac{x^4 - 5x^2 + 2x - 1}{(x^2-1)^2} \),\(\displaystyle \frac{3x^4 - 2x + 3}{(x^2-1)^2} \),\(\displaystyle \frac{x^4 - 6x^2 - 4x - 3}{(x^2-1)^2} \),\(\displaystyle \frac{2x^3 - 4x^2 + 1}{(x^2-1)^2} \),2,q1522
179,"108,142,30",,\(\displaystyle \text{Differentiate } f(x) = \frac{\sin x}{x}. \),multi,\(\displaystyle \frac{x\cos x - \sin x}{x^2} \),\(\displaystyle \cos x \),\(\displaystyle \frac{x \sin x - \cos x}{x} \),\(\displaystyle \frac{x^2 \sin x - \sin x}{x^2} \),0,q1523
180,"108,142",,"\(\displaystyle \text{If } f(x) = \frac{ax + b}{cx + d}, \text{ what is } f'(0)? \)",multi,\(\displaystyle \frac{ab - b^2}{c+d} \),\(\displaystyle \frac{ad + bc}{d} \),\(\displaystyle \frac{ad - bc}{d^2} \),\(\displaystyle \frac{a^2 + b^2}{(c+d)^2} \),2,q1524
181,"108,142",,\(\displaystyle \text{What is the second derivative of } \frac{x^2 - 3}{x}? \),multi,\(\displaystyle \frac{2}{x^3} \),\(\displaystyle \frac{-6}{x^3} \),\(\displaystyle \frac{x+3}{x^3} \),\(\displaystyle \frac{6}{x^2} \),1,q1525
182,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{x}{x+1} \),multi,\(\displaystyle \frac{-1}{(x+1)^2} \),\(\displaystyle \frac{x}{(x+1)^2} \),\(\displaystyle \frac{1}{(x+1)^2} \),\(\displaystyle \frac{2x-1}{(x+1)^2} \),2,q1531
183,"108,142",,\(\displaystyle \text{Differentiate } f(x) = \frac{x^2 - 1}{2x+3} \),multi,\(\displaystyle \frac{2(x^2 + 3x + 1)}{(2x+3)^2} \),\(\displaystyle \frac{2x^2 - x + 1}{(2x+3)^2} \),\(\displaystyle \frac{x^2 - 3x + 2}{(2x+3)^2} \),\(\displaystyle \frac{x-1}{(2x+3)^2} \),0,q1532
184,"108,142,10,38",,\(\displaystyle \text{Differentiate } f(x) = \frac{e^{ax} - e^{bx}}{e^{ax} + e^{bx}} \),multi,\(\displaystyle \frac{ae^{ax} - be^{bx}}{(e^{ax} + e^{bx})^2} \),\(\displaystyle \frac{2(a+b)e^{(a+b)x}}{e^{ax} + e^{bx}} \),\(\displaystyle \frac{e^{abx}}{(e^{ax} + e^{bx})^2} \),\(\displaystyle \frac{2(a-b)e^{(a+b)x}}{(e^{ax} + e^{bx})^2} \),3,q1533
185,"108,142",,"\(\displaystyle \text{If } f(x) = \frac{1-x^2}{1+x^2}, \text{ what is} f'(0)? \)",multi,\(\displaystyle -1 \),\(\displaystyle 1/2 \),\(\displaystyle 0 \),\(\displaystyle 1 \),2,q1534
186,"108,142",,"\(\displaystyle \text{If } f(4) = 3 \text{ and } f'(4) = -5, \text{ find } g'(4) \text{ if } g(x) = \frac{f(x)}{x}. \)",multi,\(\displaystyle -7/16 \),\(\displaystyle -23/16 \),\(\displaystyle 13/16 \),\(\displaystyle 2 \),1,q1535
187,"140,81,106,142,38",,\(\displaystyle \lim_{x \rightarrow 0} \frac{xe^x}{1-e^x} \),multi,\(\displaystyle \infty \),\(\displaystyle -1 \),\(\displaystyle 0 \),\(\displaystyle 1 \),1,q2211
188,"140,82,36,142",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{\ln(x)}{x} \),multi,\(\displaystyle \infty \),\(\displaystyle 1 \),\(\displaystyle 0 \),\(\displaystyle -\infty \),2,q2212
189,"140,82,142,10,38",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{x^3}{e^{-x}} \),multi,\(\displaystyle -\infty \),\(\displaystyle 0 \),\(\displaystyle 3 \),\(\displaystyle \infty \),3,q2213
190,140,,\(\displaystyle \lim_{x \rightarrow 0^+} \frac{\sin(x)}{x^2} \),multi,\(\displaystyle \infty \),\(\displaystyle 1 \),\(\displaystyle 0 \),\(\displaystyle 1/2 \),0,q2214
191,"145,140,81,10,142,36",,\(\displaystyle \lim_{x \rightarrow \infty} (1+1/x^2)^x \),multi,\(\displaystyle 0 \),\(\displaystyle 1 \),\(\displaystyle \infty \),\(\displaystyle e \),1,q2215
192,80,,\(\displaystyle \lim_{x \rightarrow 2} \frac{x-1}{x^3+2} \),multi,\(\displaystyle 1/10 \),\(\displaystyle 0 \),\(\displaystyle \infty \),\(\displaystyle 1/6 \),0,q2216
193,"140,81,38,30,144",,\(\displaystyle \lim_{x \rightarrow 0} \frac{e^x - 1}{\sin(x)} \),multi,\(\displaystyle \infty \),\(\displaystyle 1 \),\(\displaystyle 0 \),\(\displaystyle -1 \),1,q2217
194,"140,82,142",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{x^3}{1-x^3} \),multi,\(\displaystyle 1 \),\(\displaystyle \infty \),\(\displaystyle 0 \),\(\displaystyle -1 \),3,q2218
195,"140,81,144,31,142",,\(\displaystyle \lim_{x \rightarrow 0} \frac{1-\cos(x)}{3x} \),multi,\(\displaystyle 0 \),\(\displaystyle 1/3 \),\(\displaystyle \infty \),\(\displaystyle -1/3 \),0,q2221
196,"140,81,142",,\(\displaystyle \lim_{x \rightarrow 0} \frac{x^2 - 5x + 3}{x^2 - 2x + 1} \),multi,\(\displaystyle \infty \),\(\displaystyle 3 \),\(\displaystyle 0 \),\(\displaystyle 1 \),1,q2222
197,"140,82,106,142,36",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{x \ln (x)}{x + \ln(x)} \),multi,\(\displaystyle -\infty \),\(\displaystyle 0 \),\(\displaystyle 1 \),\(\displaystyle \infty \),3,q2223
